epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71166,1.47968,4.0606,1.58239,0.02264,1,0.15006,0.12973,0.53198,3.25369,0.19994,0.00015453,0.00015453,0.00015453
2,14.181,0.97271,3.86692,1.32557,0.0144,1,0.26385,0.19351,0.87714,3.23938,0.38925,0.000302402,0.000302402,0.000302402
3,20.5996,0.81891,3.56735,1.21322,0.98824,0.10989,0.27489,0.25551,0.38383,2.78761,0.16937,0.000434075,0.000434075,0.000434075
4,26.788,0.70584,3.1907,1.14694,0.50339,0.26009,0.29303,0.24584,0.55428,2.6884,0.24742,0.00054955,0.00054955,0.00054955
5,33.0124,0.72956,2.87561,1.14778,0.23483,0.45714,0.31689,0.26616,0.49301,2.39073,0.26055,0.000648826,0.000648826,0.000648826
6,39.4052,0.62833,2.51922,1.09894,0.16437,0.60098,0.28992,0.24099,0.61025,3.19957,0.64687,0.000684022,0.000684022,0.000684022
7,45.8954,0.63625,2.26575,1.09695,0.13768,0.84645,0.35615,0.31746,0.56012,3.58742,0.82104,0.000639027,0.000639027,0.000639027
8,52.0384,0.62453,2.11203,1.11188,0.49007,0.43689,0.40985,0.36852,0.39219,3.70048,0.6299,0.000594031,0.000594031,0.000594031
9,58.4573,0.56436,1.93095,1.08191,0.34861,0.71481,0.47025,0.41983,0.36543,2.96095,0.6469,0.000549036,0.000549036,0.000549036
10,65.2468,0.56531,1.87883,1.09653,0.96381,0.27778,0.46953,0.41973,0.4146,2.36927,0.78308,0.00050404,0.00050404,0.00050404
11,71.9813,0.35858,1.89265,1.03203,0.26237,0.64066,0.51478,0.5047,0.23016,1.7303,0.93146,0.000459045,0.000459045,0.000459045
12,78.9643,0.25481,1.51091,0.97633,0.29809,0.63659,0.42502,0.41946,0.21169,3.34474,1.04904,0.000414049,0.000414049,0.000414049
13,85.7407,0.19437,1.34105,0.97499,0.2741,0.68665,0.47226,0.47226,0.20237,4.09003,1.0639,0.000369054,0.000369054,0.000369054
14,92.726,0.19121,1.33933,0.94871,0.36382,0.74437,0.65575,0.65037,0.203,1.75207,0.99566,0.000324058,0.000324058,0.000324058
15,99.7101,0.17346,1.33681,0.9405,0.48706,0.86313,0.73508,0.73256,0.15807,1.21214,1.01165,0.000279063,0.000279063,0.000279063
16,106.882,0.18785,1.30286,0.96115,0.36792,0.77557,0.70164,0.69813,0.15632,1.46906,1.01336,0.000234068,0.000234068,0.000234068
17,114.145,0.13857,1.12239,0.94328,0.51154,0.82294,0.73765,0.71644,0.16949,1.25336,0.96445,0.000189072,0.000189072,0.000189072
18,121.302,0.1381,1.119,0.92806,0.57766,0.84647,0.76817,0.73524,0.19838,1.27448,0.92841,0.000144077,0.000144077,0.000144077
19,128.679,0.12382,1.00701,0.94747,0.60802,0.87458,0.78847,0.75635,0.17395,1.11503,0.93814,9.9081e-05,9.9081e-05,9.9081e-05
20,136.172,0.12348,1.05566,0.92137,0.62573,0.87156,0.79894,0.77325,0.17497,1.05623,0.94758,5.40855e-05,5.40855e-05,5.40855e-05
